,Unnamed: 0,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian_x,traveltime_x,studytime_x,failures_x,schoolsup_x,famsup_x,paid_x,activities_x,nursery,higher_x,internet,romantic_x,famrel_x,freetime_x,goout_x,Dalc_x,Walc_x,health_x,absences_x,G1_x,G2_x,G3_x,guardian_y,traveltime_y,studytime_y,failures_y,schoolsup_y,famsup_y,paid_y,activities_y,higher_y,romantic_y,famrel_y,freetime_y,goout_y,Dalc_y,Walc_y,health_y,absences_y,G1_y,G2_y,G3_y
0,0,0,0,18,0,0,0,4,4,0,3,0,0,2,2,0,0,1,1,1,0,0,1,1,4,3,4,1,1,3,6,5,6,6,0,2,2,0,0,1,1,1,0,1,4,3,4,1,1,3,4,0,11,11
1,1,0,0,17,0,0,1,1,1,0,5,0,1,1,2,0,1,0,1,1,1,0,0,1,5,3,3,1,1,3,4,5,5,6,1,1,2,0,1,0,1,1,0,1,5,3,3,1,1,3,2,9,11,11
2,2,0,0,15,0,1,1,1,1,0,5,1,0,1,2,3,0,1,0,1,0,0,0,1,4,3,2,2,3,3,10,7,8,10,0,1,2,0,0,1,1,1,0,1,4,3,2,2,3,3,6,12,13,12
2,2,0,0,15,0,1,1,1,1,0,5,1,0,1,2,3,0,1,0,1,0,0,0,1,4,3,2,2,3,3,10,7,8,10,0,1,2,0,0,1,1,1,0,1,4,3,2,2,3,3,6,12,13,12
2,2,0,0,15,0,1,1,1,1,0,5,1,0,1,2,3,0,1,0,1,0,0,0,1,4,3,2,2,3,3,10,7,8,10,0,1,2,0,0,1,1,1,0,1,4,3,2,2,3,3,6,12,13,12
2,2,0,0,15,0,1,1,1,1,0,5,1,0,1,2,3,0,1,0,1,0,0,0,1,4,3,2,2,3,3,10,7,8,10,0,1,2,0,0,1,1,1,0,1,4,3,2,2,3,3,6,12,13,12
3,3,0,0,15,0,0,1,4,2,1,4,3,0,1,3,0,1,0,0,0,0,0,0,0,3,2,2,1,1,5,2,15,14,15,0,1,3,0,1,0,1,0,0,0,3,2,2,1,1,5,0,14,14,14
4,4,0,0,16,0,0,1,3,3,5,5,3,1,1,2,0,1,0,0,1,0,0,1,1,4,3,2,1,2,5,4,6,10,10,1,1,2,0,1,0,1,1,0,1,4,3,2,1,2,5,0,11,13,13
5,5,0,1,16,0,1,1,4,3,4,5,2,0,1,2,0,1,0,0,0,0,0,0,1,5,4,2,1,2,5,10,15,15,15,0,1,2,0,1,0,1,0,0,1,5,4,2,1,2,5,6,12,12,13
6,6,0,1,16,0,1,1,2,2,5,5,3,0,1,2,0,1,1,1,1,0,0,0,1,4,4,4,1,1,3,0,12,12,11,0,1,2,0,1,1,1,1,0,1,4,4,4,1,1,3,0,13,12,13
7,7,0,0,17,0,0,0,4,4,5,3,3,0,2,2,0,0,0,1,1,0,0,1,1,4,1,4,1,1,1,6,6,5,6,0,2,2,0,0,0,1,1,0,1,4,1,4,1,1,1,2,10,13,13
8,8,0,1,15,0,1,0,3,2,4,5,3,0,1,2,0,1,0,0,1,0,0,0,1,4,2,2,1,1,1,0,16,18,19,0,1,2,0,1,0,1,1,0,1,4,2,2,1,1,1,0,15,16,17
9,9,0,1,15,0,0,1,3,4,5,5,3,0,1,2,0,1,0,0,0,0,0,0,1,5,5,1,1,1,5,0,14,15,15,0,1,2,0,1,0,1,0,0,1,5,5,1,1,1,5,0,12,12,13
10,10,0,0,15,0,0,1,4,4,3,1,2,0,1,2,0,1,0,0,1,0,0,0,1,3,3,3,1,2,2,0,10,8,9,0,1,2,0,1,0,1,1,0,1,3,3,3,1,2,2,2,14,14,14
11,11,0,0,15,0,0,1,2,1,4,5,2,1,3,3,0,1,0,1,0,0,0,0,1,5,2,2,1,1,4,4,10,12,12,1,3,3,0,1,0,1,0,0,1,5,2,2,1,1,4,0,10,12,13
12,12,0,1,15,0,1,1,4,4,1,4,0,1,1,1,0,1,0,0,0,0,0,0,1,4,3,3,1,3,5,2,14,14,14,1,1,1,0,1,0,1,0,0,1,4,3,3,1,3,5,0,12,13,12
13,13,0,1,15,0,0,1,4,3,3,5,0,0,2,2,0,1,0,0,1,0,0,0,1,5,4,3,1,2,3,2,10,10,11,0,2,2,0,1,0,1,1,0,1,5,4,3,1,2,3,0,12,12,13
14,14,0,1,15,0,0,0,2,2,5,5,3,2,1,3,0,1,0,1,1,0,0,0,0,4,5,2,1,1,3,0,14,16,16,2,1,3,0,1,0,1,1,0,0,4,5,2,1,1,3,0,14,14,15
15,15,0,0,16,0,0,1,4,4,1,5,3,0,1,1,0,1,0,1,1,0,0,0,1,4,4,4,1,2,2,4,14,14,14,0,1,1,0,1,0,1,1,0,1,4,4,4,1,2,2,6,17,17,17
